city	country	region
Vancouver	Canada	British Columbia
Tsawassen	Canada	British Columbia
Montréal	Canada	Québec
London	UK	England
Cowes	UK	Isle of Wight
München	Germany	Bayern
Köln	Germany	Nordrhein-Westfalen
Berlin	Germany	Berlin
Köln	Germany	Nordrhein-Westfalen
Stuttgart	Germany	Baden-Württemberg
Frankfurt a.M.	Germany	Hesse
Aachen	Germany	Nordrhein-Westfalen
Brandenburg	Germany	Brandenburg
Leipzig	Germany	Sachsen
Münster	Germany	Nordrhein-Westfalen
Mannheim	Germany	Baden-Württemberg
Strasbourg	France	Alsace
Lyon	France	Rhone-Alpes
Paris	France	Île-de-France
Versailles	France	Île-de-France
Nantes	France	Pays-de-la-Loire
Lille	France	Nord-Pas-de-Calais
Reims	France	Champagne-Ardenne
Toulouse	France	Midi-Pyrénées
Marseille	France	Provence-Alpes-Côte d'Azur
Sevilla	Spain	Andalucia
Madrid	Spain	Madrid
Barcelona	Spain	Catalonia
Torino	Italy	Piemonte
Bergamo	Italy	Lombardia
Reggio Emilia	Italy	Emilia-Romagna
